account_id,account_name,plan_tier,lifecycle_stage,recommended_owner,recommended_action,priority_score,arr,revenue_at_risk,effort_hours,reason
ACC026,Account 026,Starter,Adoption,Customer Success,Improve adoption playbook coverage,39.3,46000,27000,8,Adoption account with 58.4 retention risk and 82.0 metric confidence
ACC004,Account 004,Starter,Adoption,Customer Success,Improve adoption playbook coverage,39.2,42000,24000,33,Adoption account with 57.4 retention risk and 66.2 metric confidence
ACC034,Account 034,Growth,Adoption,Customer Success,Improve adoption playbook coverage,38.0,131000,45000,13,Adoption account with 34.0 retention risk and 68.5 metric confidence
ACC023,Account 023,Growth,Onboarding,Customer Ops,Accelerate onboarding milestone review,37.5,101000,42000,12,Onboarding account with 41.4 retention risk and 64.2 metric confidence
ACC028,Account 028,Scale,Expansion,Sales Ops,Package expansion signal for Sales Ops,36.3,243000,82000,31,Expansion account with 33.6 retention risk and 78.7 metric confidence
ACC040,Account 040,Starter,Adoption,Customer Success,Improve adoption playbook coverage,36.1,54000,26000,11,Adoption account with 47.7 retention risk and 72.6 metric confidence
ACC032,Account 032,Growth,Renewal,RevOps,Validate renewal risk bridge with Finance,35.7,143000,80000,41,Renewal account with 56.2 retention risk and 88.2 metric confidence
ACC003,Account 003,Growth,Onboarding,Customer Ops,Accelerate onboarding milestone review,35.0,99000,39000,19,Onboarding account with 39.2 retention risk and 78.5 metric confidence
ACC002,Account 002,Starter,Adoption,Customer Success,Improve adoption playbook coverage,34.9,20000,10000,18,Adoption account with 48.0 retention risk and 75.3 metric confidence
ACC044,Account 044,Growth,Renewal,RevOps,Validate renewal risk bridge with Finance,33.7,62000,33000,8,Renewal account with 53.7 retention risk and 78.7 metric confidence
ACC035,Account 035,Growth,Renewal,RevOps,Validate renewal risk bridge with Finance,33.1,136000,58000,32,Renewal account with 43.0 retention risk and 100 metric confidence
ACC010,Account 010,Growth,Onboarding,Customer Ops,Accelerate onboarding milestone review,32.1,55000,22000,8,Onboarding account with 39.8 retention risk and 66.5 metric confidence
ACC045,Account 045,Growth,Adoption,Customer Success,Improve adoption playbook coverage,32.0,70000,28000,28,Adoption account with 40.4 retention risk and 73.3 metric confidence
ACC017,Account 017,Starter,Adoption,Customer Success,Improve adoption playbook coverage,31.7,27000,13000,15,Adoption account with 46.8 retention risk and 85.7 metric confidence
ACC027,Account 027,Starter,Adoption,Customer Success,Improve adoption playbook coverage,26.8,21000,9000,23,Adoption account with 41.3 retention risk and 67.1 metric confidence
ACC007,Account 007,Starter,Expansion,Sales Ops,Package expansion signal for Sales Ops,23.6,39000,17000,8,Expansion account with 42.6 retention risk and 99.2 metric confidence
ACC031,Account 031,Starter,Renewal,RevOps,Validate renewal risk bridge with Finance,23.6,41000,14000,21,Renewal account with 33.5 retention risk and 82.5 metric confidence
ACC011,Account 011,Starter,Renewal,RevOps,Validate renewal risk bridge with Finance,22.0,53000,21000,11,Renewal account with 39.7 retention risk and 85.2 metric confidence
ACC030,Account 030,Growth,Expansion,Sales Ops,Package expansion signal for Sales Ops,21.4,92000,27000,30,Expansion account with 29.1 retention risk and 98.1 metric confidence
ACC012,Account 012,Starter,Expansion,Sales Ops,Package expansion signal for Sales Ops,20.0,23000,10000,24,Expansion account with 44.5 retention risk and 87.5 metric confidence
ACC020,Account 020,Starter,Adoption,Customer Success,Improve adoption playbook coverage,19.3,53000,20000,39,Adoption account with 37.5 retention risk and 87.5 metric confidence
ACC013,Account 013,Growth,Renewal,RevOps,Validate renewal risk bridge with Finance,18.3,83000,22000,32,Renewal account with 26.6 retention risk and 77.1 metric confidence
ACC041,Account 041,Starter,Adoption,Customer Success,Improve adoption playbook coverage,17.9,44000,11000,39,Adoption account with 24.7 retention risk and 55.7 metric confidence
